10	Preparatory systems
25-80-90/120	Concrete plain tile cladding system	25-80-90
25-80-90/130	Fibre cement slate cladding system	25-80-90
25-80-90/150	Metal tile cladding system	25-80-90
25-80-90/160	Natural slate cladding system	25-80-90
25-80-90/195	Wood shingle or shake cladding system	25-80-90
25-80-90/305	Product samples	25-80-90
25-80-93	Vertical patent glazing systems	25-80
25-80-93/195	Vertical patent glazing system	25-80-93
25-80-93/305	Product samples	25-80-93
25-80-95	Weatherboarding systems	25-80
25-80-95/195	Weatherboarding system	25-80-95
25-80-95/305	Product samples	25-80-95
25-85	Internal wall covering and finish systems	25
25-85-45	Lining and casing systems	25-85
25-85-45/120	Duct and wall panel lining system	25-85-45
25-85-45/135	Gypsum board casing system	25-85-45
25-85-45/140	Gypsum board wall lining system	25-85-45
25-85-45/150	Metal framed wall lining system	25-85-45
25-85-45/170	Rigid sheet wall lining and casing system	25-85-45
25-85-45/185	Timber board casing system	25-85-45
25-85-45/190	Timber board wall lining system	25-85-45
25-85-45/305	Product samples	25-85-45
25-85-60	Plaster coating systems	25-85
25-85-60/115	Clay plaster system	25-85-60
25-85-60/150	Multicoat plaster system	25-85-60
25-85-60/155	One coat plaster system	25-85-60
25-85-60/160	Parge coat system	25-85-60
25-85-60/185	Tiling and mosaic mortar substrate system	25-85-60
25-85-60/412	Factory made mouldings	25-85-60
25-85-75	Rigid sheet fine lining and panelling systems	25-85
25-85-75/105	Acoustic panel lining system	25-85-75
25-85-75/130	Framed wood panel lining system	25-85-75
25-85-75/160	Plastics panel lining system	25-85-75
25-85-75/165	Plastics veneered panel lining system	25-85-75
25-85-75/175	Specialist faced panel lining system	25-85-75
25-85-75/195	Wood veneered panel lining system	25-85-75
25-85-75/305	Product samples	25-85-75
25-85-80	Rolled paper and fabric covering systems	25-85
25-85-80/170	Rolled covering system	25-85-80
25-85-80/305	Product samples	25-85-80
25-85-85	Sprayed internal monolithic coating systems	25-85
25-85-85/175	Sprayed internal monolithic coating system	25-85-85
25-85-90	Terrazzo wall tiling systems	25-85
25-85-90/185	Terrazzo wall tiling system	25-85-90
25-85-90/305	Product samples	25-85-90
25-85-97	Wall tiling systems	25-85
25-85-97/125	External wall tiling system	25-85-97
25-85-97/140	Internal wall tiling system	25-85-97
25-85-97/305	Product samples	25-85-97
25-90	Wall and barrier accessory systems	25
25-90-20	Door and gate hardware systems	25-90
25-90-20/120	Door hardware system	25-90-20
25-90-20/130	Garage door hardware system	25-90-20
25-90-20/135	Gate hardware system	25-90-20
25-90-20/140	Hatch hardware system	25-90-20
25-90-20/170	Relocatable partition hardware system	25-90-20
25-90-20/175	Shutter hardware system	25-90-20
25-90-20/305	Product samples	25-90-20
25-90-35	Glazing systems	25-90
25-90-35/105	Bead-fixed insulating glazing system	25-90-35
25-90-35/110	Bead-fixed single glazing system	25-90-35
25-90-35/120	Fire-resistant glazing system	25-90-35
25-90-35/130	Glazing film system	25-90-35
25-90-35/135	Groove-fixed single glazing system	25-90-35
25-90-35/140	Internal use bead and tape, groove or channel glazing system	25-90-35
25-90-35/145	Mirror glazing system	25-90-35
25-90-35/150	Putty-fronted single glazing system	25-90-35
25-90-35/155	Single-sided gasket glazing system	25-90-35
25-90-35/160	Structural zipper gasket glazing system	25-90-35
25-90-35/165	U-profiled glazing system	25-90-35
25-90-35/305	Product samples	25-90-35
25-90-50	Metal lathing and anchored mesh reinforcement systems	25-90
25-90-50/105	Anchored mesh reinforcement system	25-90-50
25-90-50/150	Metal lathing casing system	25-90-50
25-90-50/155	Metal lathing on framing system	25-90-50
25-90-50/160	Metal lathing on hangers, bearers and runners system	25-90-50
25-90-50/165	Metal lathing on solid substrate system	25-90-50
25-90-85	Wall damp-proofing systems	25-90
25-90-85/110	Cementitious proprietary mortar slurry internal wall damp-proofing system	25-90-85
25-90-85/115	Cold-applied liquid internal wall damp-proofing system	25-90-85
25-90-85/160	Plastics studded membrane internal wall damp-proofing system	25-90-85
25-90-90	Wall sheathing systems	25-90
25-90-90/125	External wall sheathing system	25-90-90
25-90-95	Window hardware systems	25-90
25-90-95/195	Window hardware system	25-90-95
25-90-95/305	Product samples	25-90-95
30	Stair, ramp, tunnel, shaft and vessel systems
30-05	Fixed access systems	30
30-05-25	External stair and ramp systems	30-05
30-05-25/135	Ground bearing external stair system	30-05-25
30-05-25/175	Suspended external ramp system	30-05-25
30-05-25/180	Suspended external stair system	30-05-25
30-05-25/305	Product samples	30-05-25
30-05-30	Fixed utilitarian access systems	30-05
30-05-30/115	Companionway ladder system	30-05-30
30-05-30/140	Industrial stair system	30-05-30
30-05-30/160	Permanently-fixed roof ladder system	30-05-30
30-05-30/165	Permanently-fixed vertical ladder system	30-05-30
30-05-30/195	Working platform and walkway system	30-05-30
30-05-30/305	Product samples	30-05-30
30-05-40	Internal stair and ramp systems	30-05
30-05-40/115	Curved internal stair system	30-05-40
30-05-40/140	Internal ramp system	30-05-40
30-05-40/145	Internal stair system	30-05-40
30-05-40/175	Straight internal stair system	30-05-40
30-05-40/305	Product samples	30-05-40
30-05-75	Stair and ramp structural systems	30-05
30-05-75/135	Heavy steel stair or ramp system	30-05-75
30-05-75/140	In situ reinforced concrete stair or ramp system	30-05-75
30-05-75/160	Precast concrete stair or ramp system	30-05-75
30-05-75/185	Timber stair or ramp system	30-05-75
30-15	Tunnel and cutting systems	30
30-15-85	Trench, pipeway and pit systems	30-15
30-15-85/120	External underground surface duct system	30-15-85
30-50	Chute systems	30
30-50-70	Refuse and linen chute systems	30-50
30-50-70/110	Built-in linen chute system	30-50-70
30-50-70/115	Built-in refuse chute system	30-50-70
30-50-70/160	Post-fixed linen chute system	30-50-70
30-50-70/165	Post-fixed refuse chute system	30-50-70
30-50-70/305	Product samples	30-50-70
30-70	Fixed access, tunnel, shaft & vessel finishing systems	30
30-70-90	Waterproofing systems	30-70
30-70-90/105	Cementitious proprietary mortar slurry tanking system	30-70-90
30-70-90/110	Cementitious site-batched-and-mixed mortar tanking system	30-70-90
30-70-90/115	Cold-applied liquid external tanking system	30-70-90
30-70-90/120	Cold-applied liquid sandwiched tanking system	30-70-90
30-70-90/125	Crystallization-active cementitious mortar dry shake tanking system	30-70-90
30-70-90/130	Crystallization-active cementitious mortar slurry tanking system	30-70-90
30-70-90/135	Fully-bonded bitumen membrane external tanking system	30-70-90
30-70-90/140	Fully-bonded bitumen membrane sandwiched tanking system	30-70-90
30-70-90/145	High density plastics studded membrane cavity drain waterproofing system	30-70-90
30-70-90/150	Loose-laid bentonite membrane external or sandwiched tanking system	30-70-90
30-70-90/155	Mastic asphalt external tanking system	30-70-90
30-70-90/160	Mastic asphalt sandwiched tanking system	30-70-90
30-70-90/165	Mastic asphalt tank lining system	30-70-90
30-70-90/175	Self-adhesive bitumen membrane external tanking system	30-70-90
30-70-90/180	Self-adhesive bitumen membrane sandwiched tanking system	30-70-90
30-85	General accessory systems	30
30-85-30	Fire stopping systems	30-85
30-85-30/140	Individual services penetrations fire stopping system	30-85-30
30-85-30/145	Linear gap fire stopping system	30-85-30
30-85-30/150	Loose fire stopping system	30-85-30
30-85-30/155	Multiple services penetrations fire stopping system	30-85-30
30-85-30/160	Pipe collars	30-85-30
30-85-30/305	Product samples	30-85-30
30-85-50	Metal sheet flashing and weathering systems	30-85
30-85-50/105	Aluminium flashing system	30-85-50
30-85-50/110	Aluminium roof flashing system	30-85-50
30-85-50/115	Aluminium sheet weathering system	30-85-50
30-85-50/120	Copper sheet weathering system	30-85-50
30-85-50/125	Lead cladding flashing system	30-85-50
30-85-50/130	Lead damp proof course system	30-85-50
30-85-50/135	Lead roof flashing system	30-85-50
30-85-50/140	Lead sheet weathering system	30-85-50
30-85-50/155	Stainless steel sheet weathering system	30-85-50
30-85-50/160	Zinc sheet weathering system	30-85-50
30-85-50/305	Product samples	30-85-50
35	FF&E and general finishing systems
35-05	General FF&E systems	35
35-05-35	General fittings, furnishings and equipment (FF&E) systems	35-05
35-05-35/135	General fittings, furnishings and equipment system	35-05-35
35-05-35/305	Product samples	35-05-35
35-05-50	Minor joinery systems	35-05
35-05-50/150	Minor joinery system	35-05-50
35-05-50/305	Product samples	35-05-50
35-10	Administrative, commercial & protective service FF&E systems	35
35-10-60	Office fittings, furnishings and equipment (FF&E) systems	35-10
35-10-60/160	Office fittings, furnishings and equipment system	35-10-60
35-10-60/305	Product samples	35-10-60
35-15	Educational, scientific & information FF&E systems	35
35-15-05	Auditoria fittings, furnishings and equipment (FF&E) systems	35-15
35-15-05/105	Auditoria fittings, furnishings and equipment system	35-15-05
35-15-05/305	Product samples	35-15-05
35-15-15	Classroom fittings, furnishings and equipment (FF&E) systems	35-15
35-15-15/115	Classroom fittings, furnishings and equipment system	35-15-15
35-15-15/305	Product samples	35-15-15
35-15-45	Laboratory fittings, furnishings and equipment (FF&E) systems	35-15
35-15-45/145	Laboratory fittings, furnishings and equipment system	35-15-45
35-15-45/305	Product samples	35-15-45
35-35	Recreational FF&E systems	35
35-35-30	External public realm and site furniture systems	35-35
35-35-30/105	Acceptance and dispensing system	35-35-30
35-35-30/110	Artwork system	35-35-30
35-35-30/130	External furniture system	35-35-30
35-35-30/140	Fixed bin system	35-35-30
35-35-30/160	Parking equipment system	35-35-30
35-35-30/305	Product samples	35-35-30
35-70	Other FF&E systems	35
35-70-41	Vegetation control systems	35-70
35-70-41/110	Control system for rooted plants on hard surfaces	35-70-41
35-70-41/115	Control system for self-clinging plants on hard surfaces	35-70-41
35-70-41/145	Moss, algae and lichen control system	35-70-41
35-70-41/175	Selective vegetation control system	35-70-41
35-70-41/180	Site vegetation control system	35-70-41
35-70-41/185	Waterborne vegetation control system	35-70-41
35-70-41/190	Vegetation control maintenance system	35-70-41
35-70-60	Portable fire fighting systems	35-70
35-70-60/110	Fire blanket system	35-70-60
35-70-60/120	Fire bucket system	35-70-60
35-70-60/130	Portable fire extinguisher system	35-70-60
35-70-70	Sanitary appliance systems	35-70
35-70-70/110	Bath assembly	35-70-70
35-70-70/112	Bidet assembly	35-70-70
35-70-70/114	Shower area assembly	35-70-70
35-70-70/116	Shower cubicle assembly	35-70-70
35-70-70/118	Sink assembly	35-70-70
35-70-70/120	Janitorial unit assembly	35-70-70
35-70-70/122	Urinal assembly	35-70-70
35-70-70/124	Wash basin assembly	35-70-70
35-70-70/126	Wash fountain assembly	35-70-70
35-70-70/128	Wash trough assembly	35-70-70
35-70-70/130	Scrub-up trough assembly	35-70-70
35-70-70/132	Disposal unit (slop hopper) assembly	35-70-70
35-70-70/134	WC assembly	35-70-70
35-70-70/136	Squatting WC assembly	35-70-70
35-70-70/138	Waterless WC assembly	35-70-70
35-70-70/140	Accessible WC package assembly	35-70-70
35-70-70/142	WC wash and dry combination assembly	35-70-70
35-70-70/144	WC and washbasin combination assembly	35-70-70
35-70-70/146	Drinking fountain assembly	35-70-70
35-70-70/148	Sauna package assembly	35-70-70
35-70-70/150	Steam bath package assembly	35-70-70
35-70-70/152	Health care macerator assembly	35-70-70
35-70-70/190	Sanitary accessories	35-70-70
35-80	Signage systems	35
35-80-25	External signage and interpretation systems	35-80
35-80-25/110	Fixed external signage system	35-80-25
35-80-25/120	Free standing external signage system	35-80-25
35-80-25/130	External electrical signage system	35-80-25
35-80-25/305	Product samples	35-80-25
35-80-30	Fire and safety signage systems	35-80
35-80-30/110	Safety signage system	35-80-30
35-80-30/305	Product samples	35-80-30
35-80-40	Internal architectural signage systems	35-80
35-80-40/110	Internal fixed architectural signage system	35-80-40
35-80-40/120	Internal free standing architectural signage system	35-80-40
35-80-40/140	Internal electrical architectural signage system	35-80-40
35-80-40/305	Product samples	35-80-40
35-85	General finishing systems	35
35-85-40	Intumescent coating systems	35-85
35-85-40/140	Intumescent casting system	35-85-40
35-85-40/145	Intumescent coating system	35-85-40
35-85-40/305	Product samples	35-85-40
35-85-60	Painting and clear finishing systems	35-85
35-85-60/105	Anti-graffiti coating system	35-85-60
35-85-60/120	Decorative varnish or lacquer system	35-85-60
35-85-60/125	Decorative wood stain or dye system	35-85-60
35-85-60/130	Floor coating system	35-85-60
35-85-60/150	Multi-colour coating system	35-85-60
35-85-60/160	Oil gilding system	35-85-60
35-85-60/165	Plastic texture coating system	35-85-60
35-85-60/175	Solvent-borne paint system	35-85-60
35-85-60/180	Special coating system	35-85-60
35-85-60/195	Water-borne paint system	35-85-60
35-85-95	Wood preservative and fire retardant treatment systems	35-85
35-85-95/110	Preservative treatment	35-85-95
35-85-95/130	Retrospective application of preservative treatment	35-85-95
35-85-95/150	Fire retardant treatment	35-85-95
35-85-95/170	Retrospective application of fire retardant treatment	35-85-95
40	Flora and fauna systems
40-30	Aquatic flora systems	40
40-30-00	Aquatic and wetland planting systems	40-30
40-30-00/105	Aquatic planting system	40-30-00
40-30-00/150	Marginal planting system	40-30-00
40-30-00/170	Reedbed planting system	40-30-00
40-30-00/190	Aquatic and wetland planting maintenance system	40-30-00
40-35	Ground based flora systems	40
40-35-00	Amenity and ornamental planting systems	40-35
40-35-00/110	Bed-planted annual, perennial and bulb system	40-35-00
40-35-00/135	Grass-planted bulb and wildflower system	40-35-00
40-35-00/160	Pit-planted climber system	40-35-00
40-35-00/165	Pit-planted perennial system	40-35-00
40-35-00/170	Pit-planted semi-mature tree system	40-35-00
40-35-00/175	Pit-planted small tree or shrub system	40-35-00
40-35-00/190	Amenity planting maintenance system	40-35-00
40-35-30	Forestry, biomass, hedging and roadside planting systems	40-35
40-35-30/135	Hydraulic seeded tree and shrub system	40-35-30
40-35-30/155	Notch-planted tree and shrub system	40-35-30
40-35-30/160	Pit-planted tree and shrub system	40-35-30
40-35-30/170	Ridge and furrow-planted tree and shrub system	40-35-30
40-35-30/180	Seeded tree and shrub system	40-35-30
40-35-30/185	Trench-planted tree and shrub system	40-35-30
