
B	COMPLETE BUILDINGS/ STRUCTURES/ UNITS
C30/920	REMOVAL OF TEMPORARY FOUNDATIONS	C30
C30/930	COMPLETION CONDITION SURVEY	C30
C30/940	REPAIRS TO FAÇADE	C30
C30/950	COMPLETION	C30
C40	CLEANING MASONRY/ CONCRETE	C
C40/110	SCOPE OF WORK	C40
C40/120	RELATED REPAIR AND REMEDIAL WORKS	C40
C40/142	REMOVAL OF FITTINGS	C40
C40/160	PROTECTION	C40
C40/175	CONTROL AND DISPOSAL OF WASH WATER AND DETRITUS	C40
C40/180	COLD WEATHER	C40
C40/190	CLEANING GENERALLY	C40
C40/215	RECORD OF CLEANING WORKS	C40
C40/230	TRIAL SAMPLES	C40
C40/300	COMPATIBILITY OF CHEMICAL PRODUCTS	C40
C40/312	SURFACE BIOCIDES	C40
C40/322	ABRASIVE CLEANING EQUIPMENT	C40
C40/332	WATER SPRAY (MOUNTED NOZZLES)	C40
C40/342	PRESSURIZED WATER CLEANING EQUIPMENT	C40
C40/352	STEAM CLEANING EQUIPMENT	C40
C40/362	CHEMICAL AGENTS	C40
C40/372	PLAIN POULTICES	C40
C40/412	REMOVAL OF LOOSELY ADHERED DEPOSITS	C40
C40/422	BIOCIDE APPLICATION	C40
C40/432	TOOLING	C40
C40/442	ABRASIVE BLOCKS	C40
C40/452	ABRASIVES CLEANING	C40
C40/462	WATER SPRAY CLEANING (MOUNTED NOZZLES)	C40
C40/472	PRESSURIZED WATER CLEANING	C40
C40/482	STEAM CLEANING	C40
C40/495	TESTING PH VALUES FOR CHEMICAL CLEANING	C40
C40/500	CHEMICAL CLEANING	C40
C40/515	PLAIN POULTICING	C40
C41	REPAIRING/ RENOVATING/ CONSERVING MASONRY	C
C41/110	SCOPE OF WORK	C41
C41/120	SITE INSPECTION	C41
C41/125	REMOVAL OF FITTINGS/ FIXTURES	C41
C41/130	REMOVAL OF PLANT GROWTHS FROM MASONRY	C41
C41/140	RECORD OF WORK	C41
C41/150	POWER TOOLS	C41
C41/155	PUTLOG SCAFFOLDING	C41
C41/160	PROTECTION OF MASONRY UNITS AND MASONRY	C41
C41/165	STRUCTURAL STABILITY	C41
C41/170	DISTURBANCE TO RETAINED MASONRY	C41
C41/180	WORKMANSHIP	C41
C41/185	ADVERSE WEATHER	C41
C41/190	CONTROL SAMPLES	C41
C41/210	ADVANCE REGISTRATION	C41
C41/215	MATERIAL SAMPLES	C41
C41/220	RECORDING PROFILES	C41
C41/230	INSPECTION OF DRAWINGS, TEMPLATES, CASTS, ETC	C41
C41/240	STONE	C41
C41/245	REPLACEMENT STONE UNITS	C41
C41/250	STONE ORIENTATION	C41
C41/255	ASHLAR BLOCKS/ DRESSINGS	C41
C41/258	EXISTING TEMPLATES	C41
C41/260	BRICKS	C41
C41/265	SALVAGED AND SECOND HAND BRICKS	C41
C41/275	REPLACEMENT TERRACOTTA UNITS	C41
C41/280	PROPRIETARY FIXINGS	C41
C41/281	FIXINGS	C41
C41/285	BED JOINT REINFORCEMENT TO MASONRY	C41
C41/310	DISMANTLING MASONRY FOR REUSE	C41
C41/320	REBUILDING	C41
C41/330	PREPARATION FOR REPLACEMENT MASONRY	C41
C41/340	REPLACEMENT OF STONE	C41
C41/350	STONE INSERTS	C41
C41/355	STONE INSERTS	C41
C41/360	TILE REPLACEMENT OF	C41
C41/365	REPLACEMENT OF BRICKS	C41
C41/375	REPLACEMENT OF TERRACOTTA	C41
C41/385	LAYING REPLACEMENT MASONRY UNITS	C41
C41/390	GROUTING JOINTS	C41
C41/395	INSTALLING STONE INSERTS	C41
C41/400	FILLING TERRACOTTA BLOCKS	C41
C41/405	BONDED DOWELS	C41
C41/410	CORRODED METAL FIXINGS	C41
C41/415	STONE PINNINGS FOR RUBBLE STONEWORK	C41
C41/420	TEMPORARY DISTANCE PIECES FOR JOINTS IN ASHLAR STONEWORK	C41
C41/450	WEATHERING LEDGES AT JOINTS	C41
C41/455	DESCALING STONE	C41
C41/458	REDRESSING STONE	C41
C41/510	PREPARATION FOR MORTAR REPAIRS	C41
C41/515	REINFORCEMENT FOR MORTAR REPAIRS	C41
C41/520	MORTAR REPAIRS	C41
C41/530	PROPRIETARY MORTAR REPAIRS	C41
C41/540	APPLYING MORTAR	C41
C41/550	SCRAPED FINISH TO MORTAR REPAIRS	C41
C41/555	FLOAT FINISH TO MORTAR REPAIRS	C41
C41/610	MORTAR REPAIR OF CRACKS	C41
C41/620	RESIN INJECTION REPAIR OF CRACKS	C41
C41/630	TIES	C41
C41/640	PINNING	C41
C41/650	LATERAL RESTRAINT TIES	C41
C41/655	SITE TESTING OF LATERAL RESTRAINT TIES	C41
C41/665	LATERAL RESTRAINT STRAPS	C41
C41/675	JOINT REINFORCEMENT	C41
C41/690	MAKING GOOD TO INJECTION AND INSERTION HOLES	C41
C41/692	MAKING GOOD TO TIE AND DOWEL INSERTION HOLES USING CORE DRILLED PLUGS	C41
C41/710	PREPARATION FOR GROUTING	C41
C41/712	FLUSHING OUT	C41
C41/720	HAND GROUTING	C41
C41/730	GRAVITY INJECTION GROUTING	C41
C41/735	PUMPED INJECTION GROUTING	C41
C41/740	APPLICATION OF GROUTING	C41
C41/810	PREPARATION FOR REPOINTING	C41
C41/820	POINTING	C41
C41/830	INJECTION MORTAR POINTING	C41
C41/840	POINTING WITH TOOLS/ IRONS	C41
C41/850	POINTING WITH INJECTION MORTAR	C41
C41/860	BRUSHED FINISH TO JOINTS	C41
C42	REPAIRING/ RENOVATING/ CONSERVING CONCRETE	C
C42/105	INFORMATION REQUIRED WITH TENDER	C42
C42/110	SURVEY REPORT	C42
C42/123	CONTRACTOR'S DESIGN	C42
C42/125	INVESTIGATIONS BY CONTRACTOR	C42
C42/130	INVESTIGATIONS BY EMPLOYER'S CONSULTANT	C42
C42/135	TEST RECORDS	C42
C42/140	COORDINATION OF TEMPORARY WORKS	C42
C42/150	CONCRETE REPLACEMENT REPAIRS	C42
C42/155	CRACK REPAIRS	C42
C42/160	MORTAR/ CONCRETE OVERLAYS	C42
C42/165	PROTECTIVE COATINGS	C42
C42/180	CONTRACTOR DESIGNED REPAIRS	C42
C42/305	PROPRIETARY REPAIR SYSTEMS	C42
C42/310	REPAIR MORTAR	C42
C42/315	PROTECTIVE COATING TO REINFORCEMENT	C42
C42/320	LEVELLING/ SMOOTHING COATS	C42
C42/325	PROPRIETARY SPRAYED MORTAR/ CONCRETE	C42
C42/330	PROPRIETARY SELF-COMPACTING CONCRETE FOR RECASTING	C42
C42/335	PROPRIETARY CONCRETE FOR SMALL AREA REPAIRS	C42
C42/340	CRACK/ VOID SEALING GROUTS	C42
C42/345	PROTECTIVE COATINGS FOR CONCRETE	C42
C42/350	IMPREGNATIONS FOR PROTECTING CONCRETE	C42
C42/355	CORROSION INHIBITOR IMPREGNATIONS	C42
C42/360	REINFORCEMENT GENERALLY	C42
C42/365	REINFORCEMENT COUPLERS	C42
C42/605	EXECUTION GENERALLY	C42
C42/610	QUALITY CONTROL DURING APPLICATION OF REPAIR SYSTEM	C42
C42/615	QUALITY CONTROL ON COMPLETED HARDENED REPAIR SYSTEM	C42
C42/620	TRIAL SAMPLES	C42
C42/625	REMOVAL OF FITTINGS/ ATTACHMENTS	C42
C42/630	CLEANING CONCRETE SURFACES	C42
C42/635	TEMPORARY SUPPORTS/ PROPPING	C42
C42/640	EXTENT OF CONCRETE REMOVAL FOR REINFORCEMENT TREATMENT/ REPLACEMENT	C42
C42/645	CLEANING REINFORCEMENT	C42
C42/650	ADDING/ REPLACING REINFORCEMENT GENERALLY	C42
C42/652	LAPPING REPLACEMENT/ ADDITIONAL REINFORCEMENT WITH EXISTING	C42
C42/655	WELDING NEW REINFORCEMENT TO EXISTING	C42
C42/660	PREPARATION OF CONCRETE SUBSTRATES	C42
C42/665	FORMWORK FOR RECASTING	C42
C42/670	GROUTING CRACKS/ VOIDS	C42
C42/675	CURING CONCRETE/ MORTAR	C42
C42/710	RECORD OF LOCATION/ EXTENT OF REPAIRS	C42
C45	DAMP PROOF COURSE RENEWAL/ INSERTION	C
C45/110	PRECONTRACT SURVEY	C45
C45/115	SURVEY AND REPORT	C45
C45/135	ASSOCIATED WORK	C45
C45/140	BEFORE DPC INSTALLATION	C45
C45/150	REMOVAL OF EXTERNAL RENDER	C45
C45/165	REPOINTING OF WALLS	C45
C45/210	CHEMICAL INJECTION DPC SYSTEM	C45
C45/220	CHEMICAL INJECTION DPC SYSTEM	C45
C45/230	PHYSICAL INSERTION DPC SYSTEM	C45
C45/250	MAKING GOOD TO EXPOSED INJECTION HOLES	C45
C45/251	MAKING GOOD TO EXPOSED INJECTION HOLES	C45
C45/260	GUARANTEE	C45
C46	CAVITY WALL TIE RENEWAL/ INSERTION	C
C46/100	PRECONTRACT SURVEY OF EXISTING CAVITY WALLS	C46
C46/105	SURVEY OF EXISTING CAVITY WALLS	C46
C46/110	INSERTING CAVITY WALL TIES	C46
C46/220	SAMPLES FOR REPAIRS TO EXTERNAL LEAF	C46
C46/310	INITIAL SITE TESTING OF PROOF LOADS FOR WALL TIES	C46
C46/315	PROOF LOAD TESTING OF WALL TIES DURING INSTALLATION	C46
C46/330	INSTALLATION OF WALL TIES GENERALLY	C46
C46/340	POSITIONING OF WALL TIES	C46
C46/345	POSITIONING OF WALL TIES FOR MASONRY CLADDING TO TIMBER FRAME	C46
C46/350	REMOVING MASONRY UNITS FOR REUSE	C46
C46/355	REMOVING MASONRY UNITS	C46
C46/360	CORE DRILLING MASONRY WITH RENDERED FINISH	C46
C46/365	REMOVAL OF EXISTING WALL TIES FROM INTERNAL LEAF	C46
C46/368	REMOVAL OF EXISTING WALL TIES FROM EXTERNAL LEAF	C46
C46/370	MAKING GOOD OF CAVITY WALL INSULATION	C46
C46/380	REPLACING MASONRY UNITS	C46
C46/390	ISOLATING WALL TIES IN EXTERNAL LEAF	C46
C46/400	MAKING GOOD OF INSERTION/ INSPECTION HOLES IN EXTERNAL LEAF	C46
C46/410	MAKING GOOD OF EXTERNAL RENDER	C46
C46/420	RETOUCHING DECORATIVE FINISHES TO EXTERNAL LEAF	C46
C46/430	REPOINTING CRACKED JOINTS	C46
C46/440	DOCUMENTATION	C46
C51	REPAIRING/ RENOVATING/ CONSERVING TIMBER	C
C51/110	INSPECTION	C51
C51/130	OPENING UP	C51
C51/150	TIMBER PROCUREMENT	C51
C51/160	TIMBER SUPPLIER	C51
C51/210	TIMBER SECTION STRENGTHENING - INTERNAL REINFORCEMENT	C51
C51/220	TIMBER SECTION REPAIR - INTERNAL REINFORCEMENT	C51
C51/230	MEMBER STRENGTHENING - EXTERNAL REINFORCEMENT	C51
C51/240	END REPAIRS - LAP	C51
C51/250	TIMBER SECTION REPAIRS - EXTERNAL SPLICE	C51
C51/260	JOINT STRENGTHENING - PLANAR INTERSECTIONS	C51
C51/270	JOINT STRENGTHENING - RECTANGULAR INTERSECTIONS	C51
C51/310	STRUCTURAL SOFTWOOD (GRADED DIRECT TO STRENGTH CLASS)	C51
C51/320	STRUCTURAL SOFTWOOD (STRENGTH CLASS NOT SPECIFIED):	C51
C51/330	STRUCTURAL HARDWOOD (GRADED DIRECT TO STRENGTH CLASS)	C51
C51/340	STRUCTURAL HARDWOOD (STRENGTH CLASS NOT SPECIFIED)	C51
C51/350	UNGRADED SOFTWOOD	C51
C51/360	SOFTWOOD FOR JOINERY REPAIRS	C51
C51/370	HARDWOOD FOR JOINERY REPAIRS	C51
C51/380	STRUCTURAL PLYWOOD	C51
C51/410	CARBON STEEL SECTIONS AND PLATES	C51
C51/420	STAINLESS STEEL SECTIONS AND PLATES	C51
C51/430	PROPRIETARY FRAMING ANCHORS AND CLEATS	C51
C51/440	CARBON STEEL BOLT ASSEMBLIES	C51
C51/450	STAINLESS STEEL BOLT ASSEMBLIES	C51
C51/460	CONNECTOR ASSEMBLIES	C51
C51/470	NAILS	C51
C51/480	SCREWS	C51
C51/490	COACH SCREWS	C51
C51/510	CARBON STEEL DOWELS	C51
C51/520	STAINLESS STEEL DOWELS	C51
C51/530	NON FERROUS DOWELS	C51
C51/540	RESIN GROUT/ ADHESIVE	C51
C51/600	WORKMANSHIP	C51
C51/610	TEMPORARY SUPPORTS/ PROPPING	C51
C51/620	PROTECTION OF TIMBER AND WOOD COMPONENTS BEFORE AND DURING INSTALLATION	C51
C51/630	MATERIAL SAMPLES	C51
C51/640	PROTOTYPES	C51
C51/650	DIMENSIONS GENERALLY	C51
C51/660	CROSS SECTION DIMENSIONS OF STRUCTURAL SOFTWOOD AND HARDWOOD	C51
C51/670	CROSS SECTION DIMENSIONS OF NONSTRUCTURAL SOFTWOOD AND HARDWOOD	C51
C51/680	WARPING OF TIMBER	C51
C51/690	PROCESSING TREATED TIMBER	C51
C51/700	WOOD COMPONENTS - AS DELIVERED FINISH	C51
C51/710	REUSE OF TIMBER SECTIONS/ WOOD COMPONENTS	C51
C51/720	TEMPORARY REMOVAL AND REINSTATEMENT OF FITTINGS/ FIXTURES	C51
C51/730	PARTIAL REMOVAL OF EXISTING DECORATIVE/ PROTECTIVE FINISH	C51
C51/740	REMOVAL OF EXISTING DECORATIVE/ PROTECTIVE FINISH	C51
C51/750	CLEANING DIRTY OR STAINED WOOD	C51
C51/760	REPAIR OF MEMBERS - CUTTING OUT MEMBERS	C51
C51/770	REPAIR OF COMPRESSION MEMBERS - PIECING IN	C51
C51/780	REPAIR OF DISTORTED TIMBER MEMBERS	C51
C51/790	PEGS FOR MORTISE AND TENON JOINTS IN STRUCTURAL TIMBER	C51
C51/800	CONDITION OF DOWELS TO BE BONDED INTO TIMBER	C51
C51/810	USE OF TOOTHED PLATE CONNECTORS	C51
C51/820	MAKING CONNECTORED JOINTS	C51
C51/830	CRITICAL DIMENSIONS FOR FASTENERS	C51
C51/840	FIXING FRAMING ANCHORS AND CLEATS	C51
C51/850	ADHESIVE JOINTS	C51
C51/860	MOISTURE CONTENT CHECKING	C51
C51/870	MOISTURE CONTENT TESTING	C51
C51/910	MECHANICALLY FASTENED JOINTS	C51
C51/920	DATING TIMBERS USED IN STRUCTURAL REPAIRS	C51
C52	FUNGUS/ BEETLE ERADICATION	C
C52/105	PRECONTRACT SURVEY	C52
C52/115	SURVEY AND REPORT	C52
C52/120	ASSOCIATED WORK	C52
C52/140	OPENING UP/ CUTTING OUT/ REMOVAL OF BUILDING FABRIC	C52
C52/150	DRYING OUT OF BUILDING FABRIC	C52
C52/162	PREPARATION GENERALLY FOR PRESERVATIVE/ FUNGICIDE TREATMENTS TO TIMBERS/ MASONRY	C52
C52/210	DRY ROT	C52
C52/220	WET ROT	C52
C52/230	BEETLE INFESTATION	C52
C52/240	SALVAGED MATERIALS	C52
C52/310	TIMBER PRESERVATIVES/ MASONRY FUNGICIDES GENERALLY	C52
C52/318	TIMBER PRESERVATIVE TREATMENT	C52
C52/323	TIMBER PRESERVATIVE TREATMENT	C52
C52/338	MASONRY FUNGICIDE TREATMENT	C52
C52/343	MASONRY FUNGICIDE TREATMENT	C52
C52/355	DRILLING TIMBER FOR INJECTION OF PRESERVATIVES	C52
C52/390	GUARANTEE	C52
C90	ALTERATIONS - SPOT ITEMS	C
C90/110	DESCRIPTIONS	C90
C90/120	EMPLOYER'S PROPERTY	C90
C90/130	RECYCLED MATERIALS	C90
D	GROUNDWORK
D20	EXCAVATING AND FILLING	D
D20/110	SITE INVESTIGATION	D20
D20/112	SITE INVESTIGATION REPORT	D20
D20/145	VARIATIONS IN GROUND WATER LEVEL	D20
D20/150	EXISTING SERVICES, FEATURES AND STRUCTURES	D20
D20/164	TREE ROOTS	D20
D20/166	TREE ROOT BARRIERS	D20
D20/168	SITE CLEARANCE	D20
D20/170	REMOVING SMALL TREES, SHRUBS, HEDGES AND ROOTS	D20
D20/175	FELLING LARGE TREES	D20
D20/180	CHIPPING AND SHREDDING	D20
D20/220	STRIPPING TOPSOIL	D20
D20/221	TREATING TOPSOIL	D20
D20/225	HANDLING TOPSOIL	D20
D20/240	ADJACENT EXCAVATIONS	D20
D20/242	EXCAVATIONS ADJACENT TO EXISTING BACKFILLED TRENCHES	D20
D20/244	EXCAVATIONS ADJACENT TO EXISTING FOUNDATIONS	D20
D20/245	EXCAVATIONS ADJACENT TO EXISTING FOUNDATIONS - CONTRACTOR'S DESIGN	D20
D20/246	EXCAVATIONS ADJACENT TO PILE SUPPORTED STRUCTURES	D20
D20/248	BACKFILL TO EXCAVATIONS LOWER THAN FOUNDATION FORMATION LEVEL	D20
D20/250	PERMISSIBLE DEVIATIONS FROM FORMATION LEVELS	D20
D20/255	ACCURACY - LINEAR DIMENSIONS	D20
D20/260	INSPECTING FORMATIONS	D20
D20/265	INSPECTING FORMATIONS IN SAND AND GRAVEL	D20
D20/267	INSPECTION OF FORMATIONS IN SHRINKABLE SOILS	D20
D20/270	FOUNDATIONS GENERALLY	D20
D20/275	FOUNDATION BEARING	D20
D20/280	TRENCH FILL FOUNDATIONS	D20
D20/283	FORMATIONS FOR PILE SUPPORTED STRUCTURES	D20
D20/285	STEPS IN FOUNDATION FORMATIONS	D20
D20/290	FOUNDATIONS IN MADE UP GROUND	D20
D20/310	UNSTABLE GROUND	D20
D20/320	RECORDED FEATURES	D20
D20/330	UNRECORDED FEATURES	D20
D20/335	NEW FOUNDATIONS CROSSING OLD FOUNDATIONS OR WALLS	D20
D20/337	OLD FOUNDATIONS OR WALLS BENEATH NEW GROUND SUPPORTED SLAB	D20
D20/350	EXISTING WATERCOURSES	D20
D20/360	EXCESS EXCAVATION	D20
D20/370	UNDERGROUND STRUCTURES IN LANDSCAPE AREAS	D20
D20/410	EXCAVATED TOPSOIL STORAGE	D20
D20/415	EXCAVATED TOPSOIL REMOVAL	D20
D20/420	TOPSOIL STORAGE HEAPS	D20
D20/421	TOPSOIL STORAGE HEAP TREATMENT	D20
D20/441	SURPLUS SUBSOIL	D20
D20/450	WATER	D20
D20/454	GROUND WATER LEVEL, SPRING OR RUNNING WATER	D20
D20/457	PUMPING	D20
D20/460	PERMANENT DRAINAGE SYSTEM	D20
D20/500	PROPOSED FILL MATERIALS	D20
D20/510	HAZARDOUS, AGGRESSIVE OR UNSTABLE MATERIALS	D20
D20/512	LIMITATION OF SULFATE CONTENT IN FILL MATERIALS	D20
D20/520	FROST SUSCEPTIBILITY	D20
D20/525	TESTING OF SUITABILITY OF FILL MATERIALS BEFORE START OF FILLING	D20
D20/530	PLACING FILL	D20
D20/535	COMPACTION GENERALLY	D20
D20/540	BENCHING IN FILL	D20
D20/550	GEOTEXTILE SHEET	D20
D20/555	GEOGRIDS	D20
D20/560	GEONETS	D20
D20/571	GEOCELLS	D20
D20/575	BURIED EROSION CONTROL GEOMATS	D20
D20/580	BURIED EROSION CONTROL BIODEGRADABLE MESH	D20
D20/585	EROSION CONTROL MATTRESSES	D20
D20/590	ROCK ROLLS	D20
D20/600	COIR	D20
D20/610	COMPACTED FILLING FOR LANDSCAPE AREAS	D20
D20/615	LOOSE TIP FILLING FOR LANDSCAPE AREAS	D20
D20/617	HIGHWAYS AGENCY TYPE 1 UNBOUND MIXTURE	D20
D20/618	HIGHWAYS AGENCY TYPE 2 UNBOUND MIXTURE	D20
D20/620	SUBGRADE IMPROVEMENT LAYER (CAPPING)	D20
D20/626	COMPACTED GENERAL FILL	D20
D20/640	STARTER LAYER OF COMPACTED FILLING	D20
D20/650	PROTECTION OF COMPACTED FILLING	D20
D20/700	BACKFILLING AROUND FOUNDATIONS	D20
D20/710	HARDCORE FILLING	D20
D20/715	VENTING HARDCORE LAYER	D20
D20/730	BLINDING	D20
D20/750	COMPACTED CLAY LINING	D20
D20/755	INSTALLATION OF COMPACTED CLAY LINING	D20
D20/770	GEOCOMPOSITE GAS VENTING LAYER	D20
D20/810	EXCAVATED SOIL TREATMENT	D20
D20/820	IN SITU SOIL TREATMENT	D20
D20/830	SOIL VAPOUR EXTRACTION	D20
D20/840	PUMP AND TREAT SYSTEM	D20
D20/850	COMPACTED GENERAL FILLING/ EARTHWORKS	D20
D20/900	APPENDIX 6/1 - REQUIREMENTS FOR ACCEPTABILITY AND TESTING, ETC. OF EARTHWORKS MATERIALS	D20
D20/905	APPENDIX 6/2 - REQUIREMENTS FOR DEALING WITH CLASS U1B AND U2 UNACCEPTABLE MATERIAL	D20
D20/910	APPENDIX 6/3 - REQUIREMENTS FOR EXCAVATION, DEPOSITION, COMPACTION (OTHER THAN DYNAMIC COMPACTION)	D20
D20/915	APPENDIX 6/4 - REQUIREMENTS FOR CLASS 3 MATERIAL	D20
D20/920	APPENDIX 6/5 - GEOTEXTILES USED TO SEPARATE EARTHWORKS MATERIALS	D20
D20/925	APPENDIX 6/6 - FILL TO STRUCTURES AND FILL ABOVE STRUCTURAL FOUNDATIONS	D20
D20/930	APPENDIX 6/7- SUB-FORMATION AND CAPPING AND PREPARATION AND SURFACE TREATMENT OF FORMATION	D20
D20/935	APPENDIX 6/8 - TOPSOILING	D20
D20/940	APPENDIX 6/9 - EARTHWORK ENVIRONMENTAL BUNDS, LANDSCAPE AREAS, STRENGTHENED EMBANKMENTS	D20
D20/945	APPENDIX 6/10 - GROUND ANCHORAGES, CRIB WALLING AND GABIONS	D20
D20/950	APPENDIX 6/11 - SWALLOW HOLES AND OTHER NATURALLY OCCURRING CAVITIES AND DISUSED MINE WORKINGS	D20
D20/955	APPENDIX 6/12 - INSTRUMENTATION AND MONITORING	D20
D20/960	APPENDIX 6/13 - GROUND IMPROVEMENT	D20
D20/965	APPENDIX 6/14 - LIMITING VALUES FOR POLLUTION OF CONTROLLED WATERS	D20
D20/970	APPENDIX 6/15 - LIMITING VALUES FOR HARM TO HUMAN HEALTH AND THE ENVIRONMENT	D20
D30	PILING	D
D30/110	PILING SPECIFICATION	D30
D30/130	PILES	D30
D30/140	PRECAST CONCRETE PILES	D30
D30/150	STEEL BEARING PILES	D30
D30/160	DRIVEN CAST-IN-PLACE PILES WITH PERMANENT CASING	D30
D30/165	DRIVEN CAST-IN-PLACE PILES WITH TEMPORARY CASING	D30
D30/170	BORED CAST-IN-PLACE PILES	D30
D30/180	AUGURED CAST-IN-PLACE PILES	D30
D30/185	SPECIAL CONSTRUCTION FOR TEST PILES	D30
D30/190	REDUCTION OF PILE FRICTION	D30
D30/195	PROTECTION AGAINST AGGRESSIVE GROUND/ GROUND WATER	D30
D30/210	CONTRACTOR DESIGN	D30
D30/220	DESIGN AND CONSTRUCTION	D30
D30/222	EUROCODES	D30
D30/230	GROUND INVESTIGATION	D30
D30/240	ADDITIONAL GROUND INVESTIGATION	D30
D30/250	PERFORMANCE CRITERIA FOR STRUCTURE TO BE SUPPORTED ON THE PILES	D30
D30/260	SPECIFIED WORKING LOADS FOR PILES	D30
D30/270	FOUNDATION WORKING LOADS	D30
D30/280	PERFORMANCE SPECIFICATION CRITERIA FOR PILES	D30
D30/285	DAMAGE TO ADJACENT STRUCTURES AND SERVICES	D30
D30/290	BASIS FOR SETTING OUT	D30
D30/300	COMMENCING SURFACE	D30
D30/310	PILE LENGTH – PENETRATION	D30
D30/320	PILE LENGTH – TOE LEVEL	D30
D30/330	DRIVING RESISTANCE, DYNAMIC EVALUATION AND SET	D30
D30/340	INSTALLATION TOLERANCES FOR PILES	D30
D30/345	INSTALLATION TOLERANCES FOR PLUNGED COLUMNS	D30
D30/410	HEAD PREPARATION	D30
D30/420	PILE SHOES OR TOE REINFORCEMENT	D30
D30/430	ADDITIONAL MARKING OF PILES	D30
D30/440	PERMANENT CASING	D30
D30/445	SLEEVES	D30
D30/450	COATING	D30
D30/460	PROPRIETARY COATING	D30
D30/470	CONCRETE GENERALLY	D30
D30/480	DESIGNED CONCRETE	D30
D30/490	PRESCRIBED CONCRETE	D30
D30/495	PROPRIETARY STEEL FIBRES	D30
D30/500	MORTAR OR CEMENT GROUT WITH FILLER	D30
D30/510	CEMENT GROUT	D30
D30/530	REINFORCEMENT GENERALLY	D30
D30/540	COVER TO REINFORCEMENT	D30
D30/550	LAPS IN REINFORCEMENT	D30
D30/560	PRESTRESSING TENDONS	D30
D30/570	SONIC LOGGING DUCTS	D30
D30/580	PLUNGE COLUMNS	D30
D30/610	METHOD STATEMENT	D30
D30/615	RECORDS AND SUBMISSION OF INFORMATION DURING THE WORKS	D30
D30/617	ADDITIONAL SAMPLING AND TESTING OF MATERIALS	D30
D30/620	WELDING PROCEDURE	D30
D30/625	NON-DESTRUCTIVE TESTING OF WELDS	D30
D30/630	PRELIMINARY PILES	D30
D30/635	TRIAL DRIVES	D30
D30/640	TRIAL BORES	D30
D30/645	UPLIFT AND LATERAL DISPLACEMENT TRIALS	D30
D30/650	PERFORMANCE OF WORKING PILES	D30
D30/655	TESTING EXCAVATED MATERIAL	D30
D30/660	EASING OF PILE DRIVABILITY	D30
D30/665	PREBORING FOR PILES	D30
D30/670	JETTING FOR PILES	D30
D30/675	SUPPORT FLUID	D30
D30/680	PROHIBITION OF SUPPORT FLUID	D30
D30/685	EXCAVATED MATERIAL	D30
D30/690	DISPOSAL OF PILE HEADS	D30
D30/696	METHOD OF PLACING PILE FILLING	D30
D30/700	PLACING FILLING IN DRY BORINGS AND CASINGS	D30
D30/702	INSTALLATION OF PLUNGE COLUMNS	D30
D30/705	MONITORING CONSTRUCTION OF AUGURED PILES	D30
D30/710	INSTRUMENT FAILURE WHEN AUGURING PILES	D30
D30/715	PRESSURE GROUTING	D30
D30/720	PREPARATORY PREBORING FOR LOW FRICTION SLEEVING OR SURROUND	D30
D30/725	SUPPORT TO PREBORED HOLE FOR LOW FRICTION SLEEVING OR SURROUND	D30
D30/730	TRIAL OF FRICTION REDUCING METHOD	D30
D30/745	TESTING MORTAR AND CEMENT GROUT	D30
D30/750	TESTING SUPPORT FLUID	D30
D30/755	PREPARATION OF PILE HEADS FOR INTEGRITY TESTING	D30
D30/760	PILE INTEGRITY TESTING - GENERAL	D30
D30/765	SONIC LOGGING	D30
D30/770	DYNAMIC/ RAPID TESTING OF PILES	D30
D30/780	AXIAL MAINTAINED LOAD TESTING OF PRELIMINARY PILES	D30
D30/785	AXIAL MAINTAINED LOAD PROOF TESTING OF WORKING PILES	D30
D30/787	PILE CONSTANT RATE OF PENETRATION (CRP) TEST	D30
D30/795	PILE PRELIMINARY LATERAL LOADING TEST	D30
D30/810	TIMING OF PILE TESTING	D30
D30/815	REMOVAL OF TEMPORARY WORKS USED FOR TESTING	D30
D30/825	WORK TO PILE HEADS AFTER TESTING	D30
D30/830	INSTRUMENTATION FOR PILES	D30
D30/840	INSTRUMENTATION MONITORING	D30
D30/850	SURVEYING OF PILES CONTAINING INSTRUMENTATION	D30
D30/910	HEALTH AND SAFETY FILE	D30
D30/920	PILING GUARANTEE	D30
D40	EMBEDDED RETAINING WALLS	D
D40/110	EMBEDDED RETAINING WALL SPECIFICATION	D40
D40/115	GENERAL REQUIREMENTS FOR PILES	D40
D40/130	EMBEDDED RETAINING WALL	D40
D40/135	DIAPHRAGM WALLS	D40
D40/145	SECANT WALLS	D40
D40/175	CONTIGUOUS BORED PILE WALLS	D40
D40/185	KING POST WALLS - BORED	D40
D40/187	KING POST WALLS - DRIVEN	D40
D40/195	STEEL SHEET PILE WALL	D40
D40/210	CONTRACTOR DESIGN	D40
D40/220	DESIGN PROVIDED	D40
D40/222	EUROCODES	D40
D40/230	GROUND INVESTIGATION	D40
D40/240	ADDITIONAL GROUND INVESTIGATION	D40
D40/250	PERFORMANCE CRITERIA FOR STRUCTURE TO BE SUPPORTED ON WALLS	D40
D40/263	LOADS ON WALLS	D40
D40/265	LOADS ON WALLS AND EXCAVATION DEPTHS	D40
D40/266	LIMITS ON GROUND MOVEMENT DURING WALL INSTALLATION	D40
D40/267	LIMITS ON GROUND MOVEMENTS DURING CONSTRUCTION	D40
